what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1449474282650
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1449474282659
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1449474282659
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1449474282667
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1449474282694
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1449474282709
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1449474282710
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1449474282722
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1449474282736
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1449474282753
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1449474282766
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1449474282773
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1449474282779
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1449474282781
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1449474282797
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1449474282799
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1449474282802
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1449474282803
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1449474282804
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1449474282805
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1449474282806
os,sysinfo,,,"win32",1449474282813
arch,sysinfo,,,"x86_64",1449474282813
ws,sysinfo,,,"win32",1449474282813
locale,sysinfo,,,"zh_CN",1449474282813
processors,sysinfo,,,"8",1449474282814
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1449474282814
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1449474282814
java.specification.name,sysinfo,,,"Java Platform API Specification",1449474282814
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449474282814
java.specification.version,sysinfo,,,"1.6",1449474282814
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1449474282814
java.version,sysinfo,,,"1.6.0_23",1449474282814
java.vm.info,sysinfo,,,"mixed mode",1449474282814
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1449474282814
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1449474282814
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449474282814
java.vm.specification.version,sysinfo,,,"1.0",1449474282814
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1449474282814
java.vm.version,sysinfo,,,"19.0-b09",1449474282814
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1449474283834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474284702
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474284799
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1449474284970
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1449474285992
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1449474286049
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1449474286061
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1449474286929
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1449474291928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474292197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474292259
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474297967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474302554
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449474306571
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1449474306940
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1449474307119
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1449474307160
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1449474307161
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1449474307201
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0xb0, /cygdrive/f/quartus2/Lab8_provided/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1449474319674
error,log,,,"Downloading ELF Process failed",1449474319679
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474319840
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474324880
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449474326455
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1449474327111
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474334347
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474359013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474366230
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449474368587
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449474377098
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449474377398
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0xb0, /cygdrive/f/quartus2/Lab8_provided/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1449474389658
error,log,,,"Downloading ELF Process failed",1449474389661
