what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461234305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461235563
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1449461235572
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449461239205
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449461239492
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449461245294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461250602
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461675014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461677759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461759305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461761099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461853623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461857738
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461859520
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1449461859528
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449461864447
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0xb0, /cygdrive/f/quartus2/Lab8_provided/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1449461876591
error,log,,,"Downloading ELF Process failed",1449461876594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461876650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461884572
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449461885872
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461891102
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461894482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461898888
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461901336
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1449461901347
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449461905931
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449461906335
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0xb0, /cygdrive/f/quartus2/Lab8_provided/software/usb_kb/usb_kb.elf] return code: 4, 'other error'",1449461918500
error,log,,,"Downloading ELF Process failed",1449461918502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461918568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449461922684
