what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307921007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307921488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307922414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307931383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307932346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307932960
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307941183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445307947842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307948365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307952626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445307965896
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445307968825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307969129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445307980519
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445307988155
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445307988867
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445308001895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445308025808
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308038568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308039629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308047101
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308048853
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445308052112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445308059019
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445308069191
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445308094091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308094397
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308103651
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445308104310
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445308111524
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445308112243
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445308125294
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445308129355
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445308129399
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445308138751
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1445308142234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308142538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308151411
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445308152313
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445308160294
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445308160737
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445308173389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308204669
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308293077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308320120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308377404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308378133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308408839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308409307
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308409922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308410419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308411818
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445308412146
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1445308412426
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1445308412427
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1445308412427
stopped,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1445308412427
stopped,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1445308412427
stopped,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1445308412427
stopped,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1445308412428
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1445308412428
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1445308412428
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1445308412428
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1445308412428
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1445308412428
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1445308412428
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1445308412438
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1445308412450
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1445308412450
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1445309899717
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1445309899718
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1445309899718
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1445309899718
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1445309899719
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1445309899719
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1445309899719
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1445309899720
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1445309899720
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1445309899720
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1445309899720
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1445309899721
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1445309899721
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1445309899722
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1445309899722
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1445309899722
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1445309899722
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1445309899723
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1445309899723
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1445309899723
