what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619405792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619408189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619408306
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619413077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619419225
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1447619427667
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1447619429870
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619437854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619469491
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1447619471602
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619472014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619499903
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619510214
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619510349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619510382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619512137
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1447619512147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619523017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447619525642
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1447619532188
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1447619532641
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1447619542766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447620202830
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447621950725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447621960196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447621960724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447621961212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447622591914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447622624752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623213667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623216182
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623232996
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623241483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623245768
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623257639
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623261870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623292172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623292758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623293836
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1447623294022
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1447623294682
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1447623294682
stopped,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1447623294683
stopped,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1447623294683
stopped,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1447623294683
stopped,bundle,com.altera.sbtgui.ui,14.0.0.200,"com.altera.sbtgui.ui",1447623294684
stopped,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1447623294684
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1447623294684
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1447623294684
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1447623294684
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1447623294685
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1447623294685
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1447623294685
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1447623294819
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1447864004261
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1447864004262
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1447864004287
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1447864004319
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1447864004336
