what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449117915617
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118392417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118396451
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118428349
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1449118444895
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1449118444975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118462962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118566372
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449118580176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118618533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118656305
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1449118657312
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118684143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1449118684165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118709284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118736511
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118807010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118813380
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449118816899
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1449118816907
