what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1449115725209
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1449115725209
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1449115725209
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1449115725210
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1449115725210
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1449115725211
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1449115725211
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1449115725211
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1449115725212
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1449115725212
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1449115725213
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1449115725213
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1449115725213
started,bundle,com.altera.sbtgui.core,14.0.0.200,"com.altera.sbtgui.core",1449115725214
started,bundle,com.altera.sbtgui.integration,14.0.0.200,"com.altera.sbtgui.integration",1449115725214
started,bundle,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch",1449115725214
started,bundle,com.altera.sbtgui.project,14.0.0.200,"com.altera.sbtgui.project",1449115725215
started,bundle,com.altera.systemconsole,14.0.0.200,"com.altera.systemconsole",1449115725215
started,bundle,com.altera.systemconsole.designs.plugin,14.0.0.200,"com.altera.systemconsole.designs.plugin",1449115725217
started,bundle,com.altera.utilities,14.0.0.200,"com.altera.utilities",1449115725217
os,sysinfo,,,"win32",1449115725219
arch,sysinfo,,,"x86_64",1449115725219
ws,sysinfo,,,"win32",1449115725219
locale,sysinfo,,,"zh_CN",1449115725219
processors,sysinfo,,,"8",1449115725219
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1449115725219
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1449115725219
java.specification.name,sysinfo,,,"Java Platform API Specification",1449115725219
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449115725219
java.specification.version,sysinfo,,,"1.6",1449115725219
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1449115725219
java.version,sysinfo,,,"1.6.0_23",1449115725219
java.vm.info,sysinfo,,,"mixed mode",1449115725219
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1449115725219
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1449115725219
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1449115725219
java.vm.specification.version,sysinfo,,,"1.0",1449115725219
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1449115725219
java.vm.version,sysinfo,,,"19.0-b09",1449115725219
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449115725231
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1449115725384
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1449115725835
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1449115726932
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1449115726963
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1449115726965
started,bundle,com.altera.sbt4e.launch,14.0.0.200,"com.altera.sbt4e.launch",1449115726967
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1449115730413
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1449115730414
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1449115730414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449115730440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449115733753
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1449115738473
started,bundle,com.altera.debug.cdi.gdb.plugin,14.0.0.200,"com.altera.debug.cdi.gdb.plugin",1449115756362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449115756638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449115761033
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1449115790958
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1449115790990
opened,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449115795158
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1449115795325
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1449115795330
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449115795553
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1449115797628
