what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660225405
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660233939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660287812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660293222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660296884
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1449660296895
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449660300394
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449660300731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660303661
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449660306398
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660356575
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449660360650
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449660362621
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660367531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660368762
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1449660368770
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449660375891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660378738
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449660380870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660460584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660468987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660483858
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1449660486037
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660501246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660541795
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660547164
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660548036
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1449660548046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660548990
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449660551541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660554482
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449660554487
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449660559731
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660611587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449660613011
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1449660613022
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449660616320
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1449660617102
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449660620152
