what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310621330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310621373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310621442
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310636099
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310646014
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310653979
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310658658
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310661932
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310664374
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310679384
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310681689
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310682148
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310692268
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310694348
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310711615
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310712348
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310713140
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310713809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310716893
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310764604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310772910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310779624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310781319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310854160
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445310878730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1445310894689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310901416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310928498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310939431
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310944640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310945066
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310945070
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310948045
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310948649
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310950340
opened,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1445310951494
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1445310951510
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310951942
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310953492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310954216
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445310954461
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445310954464
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445310956348
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1445311041321
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1445311041754
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445311070546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445314721511
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445314729284
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445314736545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445314744510
