what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445304961012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445305115499
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445305145566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445305165670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445305350628
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445305352557
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445305353970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1445305365102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1445305366007
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445305367953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445305385661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445305417379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1445305422924
activated,view,com.altera.sbtgui.launch,14.0.0.200,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1445305439640
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1445305453779
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445305453983
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1445305456816
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445305456829
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445305468301
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445305477266
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1445305479618
